corpus,experimental_file,experimental_utterance,responder,experimental_response,experimental_start_time_minutes,experimental_past_tense,experimental_plural,experimental_elan_coded,experimental_age_years,experimental_length,experimental_utt_num,experimental_response_time,experimental_age_months,control_length,control_age_months,control_utterance,control_response,control_response_time,speaker,control_start_time_minutes,control_age,control_past_tense,control_plural,control_file,diff
emily,021007,my mouses gatta a babysitter,CAR,they're at the babysitters,29.35561667,FALSE,TRUE,TRUE,2.8542094455852154,5,9,1685,34,5,34,on on the bottom stair,oh on the bottom of the stairs again I forgot,0,CHI,24.295666666666666,1063.5,FALSE,FALSE,021028,0
emily,021007,my mouses are back in my baby,CAR,they're back in your baby,29.5604,FALSE,TRUE,TRUE,2.8542094455852154,7,10,588,34,7,34,I don't wanna thread in my sock,well you don't have one anymore do ya,0,CHI,22.5247,1042.5,FALSE,FALSE,021007,0
emily,021007,my mouses are back in my baby,CAR,they're back in your baby,29.5604,FALSE,TRUE,TRUE,2.8542094455852154,7,10,588,34,7,34,oh they're for in the bastet too,here I'll help you,0,CHI,5.705533333333333,1042.5,FALSE,FALSE,021007,0
emily,021007,my mouses are back in my baby,CAR,they're back in your baby,29.5604,FALSE,TRUE,TRUE,2.8542094455852154,7,10,588,34,7,34,we all ate your birthday cake sorry,who else was here,0,CHI,28.4601,1042.5,FALSE,FALSE,021007,0
emily,021115,Mommy writed a letter and I writed a letter,CAR,did you put up a Christmas tree,2.2024,TRUE,FALSE,TRUE,2.9596167008898013,9,1,-80,35,9,35,but I have ta talk to Zee right now,okay talk to him,-0.20000000000004547,CHI,23.6915,1081,FALSE,FALSE,021115,0
emily,021115,Mommy writed a letter and I writed a letter,CAR,did you put up a Christmas tree,2.2024,TRUE,FALSE,TRUE,2.9596167008898013,9,1,-80,35,9,35,I'm I'm I'm movin my hair out my face,oh you are here I'll help you,0,CHI,4.808566666666667,1095,FALSE,FALSE,021129,0
emily,021115,Mommy writed a letter and I writed a letter,CAR,did you put up a Christmas tree,2.2024,TRUE,FALSE,TRUE,2.9596167008898013,9,1,-80,35,9,35,that's not my microphone and that's not my microphone,you don't get to wear your microphone,-1.0830000000000837,CHI,8.931833333333334,1081,FALSE,FALSE,021115,0
emily,021115,I ripped it sinced I goed to bed,CAR,oh you ripped it since you went to bed,13.54418333,TRUE,FALSE,TRUE,2.9596167008898013,8,2,690,35,8,35,put pegs and I put pegs in there,does it hold them,0,CHI,23.587583333333335,1095,FALSE,FALSE,021129,0
emily,021115,I ripped it sinced I goed to bed,CAR,oh you ripped it since you went to bed,13.54418333,TRUE,FALSE,TRUE,2.9596167008898013,8,2,690,35,8,35,that's how me and my dad build it,what'd you do with the snow,0,CHI,2.109766666666667,1095,FALSE,FALSE,021129,0
emily,021115,I ripped it sinced I goed to bed,CAR,oh you ripped it since you went to bed,13.54418333,TRUE,FALSE,TRUE,2.9596167008898013,8,2,690,35,8,35,sh she's Cinderella oh I forgat she's Snow_White,yeah,0,CHI,14.420683333333333,1081,FALSE,FALSE,021115,0
